# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  3 69.9988 1421.98 5.23617 2.28382
  4 77.9988 1434.29 5.28355 2.26671
  5 85.9988 1425.73 5.25854 2.15611
  6 93.9988 1409.12 5.188 2.1196
  7 101.999 1414.55 5.21164 2.00843
  8 109.999 1398.98 5.15164 1.94644
  9 117.999 1354.84 4.99283 1.77223
  10 125.999 1263.39 4.65078 1.2717
  11 133.999 1155.84 4.2593 0.916642
  12 141.999 1199.4 4.41979 0.820291
  13 149.999 1096.81 4.03959 0.763133
  14 157.999 1199.17 4.41736 0.749773
  15 165.999 1102.26 4.06131 0.727845
  16 173.999 1167.15 4.29979 0.773857
  17 181.999 1135.29 4.18275 0.735272
  18 189.999 1056.57 3.89165 0.691696
  19 197.999 1225.51 4.50996 0.735212
  20 205.999 1045.92 3.8589 0.679821
  21 213.999 1024 3.77246 0.250065
  22 221.999 1149.7 4.23689 0.974093
  23 229.999 1154.3 4.25115 0.358952
  24 237.999 768 2.82935 0.0219648
  25 245.999 1024 3.77246 0.0267383
  26 253.999 512.077 1.88652 0.00404643
280000 26 31744
  1 55.997 1410.88 5.20156 2.41633
  2 63.997 1431.19 5.27024 2.29892
  3 71.997 1421.64 5.2346 2.2974
  4 79.997 1430.86 5.27158 2.23442
  5 87.997 1425.83 5.25892 2.24226
  6 95.997 1419.32 5.22834 2.14133
  7 103.997 1419.96 5.22969 2.06762
  8 111.997 1403.25 5.16546 1.96928
  9 119.997 1374.28 5.06457 1.86239
  10 127.997 1305.52 4.80934 1.48021
  11 135.997 1196.41 4.40895 0.978108
  12 143.997 1149.02 4.23115 0.863959
  13 151.997 1176.36 4.33361 0.82046
  14 159.997 1123.59 4.13978 0.756438
  15 167.997 1168.61 4.30719 0.75138
  16 175.997 1135.29 4.18054 0.744006
  17 183.997 1126.67 4.15706 0.753795
  18 191.997 1177.33 4.33099 0.686073
  19 199.997 1040.92 3.83496 0.710749
  20 207.997 1216.24 4.48311 0.760733
  21 215.997 1070.85 3.94244 0.464767
  22 223.997 1024 3.77246 0.410985
  23 231.997 1148.18 4.2303 0.909539
  24 239.997 899.818 3.31463 0.314715
  25 247.997 1024 3.77246 0.0242499
  26 255.997 1024 3.77246 0.0208318
290000 27 32896
  1 57.9969 1409.85 5.19792 2.41122
  2 65.9969 1427.25 5.25634 2.34617
  3 73.9969 1428 5.25685 2.34159
  4 81.9969 1431.26 5.27526 2.2686
